[2026-02-19 19:56:28] SERVER: avvio in corso
[2026-02-19 19:56:28] SERVER: in ascolto sulla porta 8080
[2026-02-19 19:56:28] SERVER: nuova partita pronta, in attesa di giocatori
[2026-02-19 19:57:46] [fauu@127.0.0.1] MOVE: nuova pos (11,41)
[2026-02-19 19:57:47] [fauu@127.0.0.1] MOVE: 'D' (pos: 11,41)
[2026-02-19 19:57:47] [fauu@127.0.0.1] MOVE: nuova pos (11,42)
[2026-02-19 19:57:47] [fauu@127.0.0.1] MOVE: 'D' (pos: 11,42)
[2026-02-19 19:57:47] [fauu@127.0.0.1] MOVE: nuova pos (11,43)
[2026-02-19 19:57:47] [fauu@127.0.0.1] MOVE: 'D' (pos: 11,43)
[2026-02-19 19:57:47] [fauu@127.0.0.1] MOVE: nuova pos (11,44)
[2026-02-19 19:57:48] [fauu@127.0.0.1] MOVE: 'D' (pos: 11,44)
[2026-02-19 19:57:48] [fauu@127.0.0.1] MOVE: nuova pos (11,45)
[2026-02-19 19:57:49] [fauu@127.0.0.1] MOVE: 'D' (pos: 11,45)
[2026-02-19 19:57:49] [fauu@127.0.0.1] MOVE: nuova pos (11,46)
[2026-02-19 19:57:49] [fauu@127.0.0.1] MOVE: 'D' (pos: 11,46)
[2026-02-19 19:57:49] [fauu@127.0.0.1] MOVE: nuova pos (11,47)
[2026-02-19 19:57:50] [fauu@127.0.0.1] MOVE: 'W' (pos: 11,47)
[2026-02-19 19:57:50] [fauu@127.0.0.1] MOVE: nuova pos (10,47)
[2026-02-19 19:57:50] [fauu@127.0.0.1] MOVE: 'W' (pos: 10,47)
